libelle;libelle_complet;mot_directeur;voie_tenante;voie_aboutissante;commune;code_insee;sti;rivoli
PL PIERRE MENDES FRANCE;Place Pierre Mendes France;FRANCE;;;TOULOUSE;31555;315558382618;3105555874W
CLOS ANTOINE LAVOISIER;Clos Antoine Lavoisier;LAVOISIER;;;TOURNEFEUILLE;31557;315570000255;3105570670F
RUE DAUBENTON;Rue Daubenton;DAUBENTON;;;TOULOUSE;31555;315552160006;3105552512S
CHE DU REBEILLOU;Chemin du Rebeillou;REBEILLOU;;;QUINT;31445;314450000098;3104450360F
ALL DE LA TERRASSE;Allée de la Terrasse;TERRASSE;;;COLOMIERS;31149;311490000445;3101491250K
IMP DJANGO REINHARDT;Impasse Django Reinhardt;REINHARDT;;;TOULOUSE;31555;315558382414;3105552673S
RUE DU TUCARD;Rue du Tucard;TUCARD;;;ST-ORENS-DE-GAMEVILLE;31506;315060000203;3105061270E
ALL DU CARLITTE;Allée du Carlitte;CARLITTE;;;COLOMIERS;31149;311490000098;3101490297Z
RUE DES PERVENCHES;Rue des Pervenches;PERVENCHES;;;UNION;31561;315610000210;3105610545C
RUE DU PR ANTOINE BAISSET;Rue du Professeur Antoine Baïsset;BAISSET;;;TOULOUSE;31555;315558432222;3105550375U
PL GILBERT PRIVAT;Place Gilbert Privat;PRIVAT;;;TOULOUSE;31555;315558350358;3105553894U
RUE DE LA HIRE;Rue de la Hire;HIRE;;;GAGNAC-SUR-GARONNE;31205;312050000033;3102050110C
ALL FLANDRES DUNKERQUE 1940;Allée Flandres Dunkerque 1940;DUNKERQUE;;;BLAGNAC;31069;310690000003;3100690352G
RUE VERLAINE;Rue Verlaine;VERLAINE;;;ST-JEAN;31488;314880000036;3104880740G
CHE DES TOURNESOLS;Chemin des Tournesols;TOURNESOLS;;;AIGREFEUILLE;31003;310030000048;3100030250H
RUE DEODAT ROCHE;Rue Déodat Roché;ROCHE;;;TOULOUSE;31555;315558424815;3105552599L
RUE DES GENETS;Rue des Genêts;GENETS;;;ST-ORENS-DE-GAMEVILLE;31506;315060000081;3105060676J
RUE DES PRINCES;Rue des Princes;PRINCES;;;TOULOUSE;31555;315555603236;3105557136T
AV DU BICENTENAIRE;Avenue du Bicentenaire;BICENTENAIRE;;;BALMA;31044;310440000001;3100440135E
RTE DE GAURE;Route de Gauré;GAURE;;;MONS;31355;313550000063;3103550015X
CHE D EMBAX;Chemin d'Embax;EMBAX;;;COLOMIERS;31149;311490000166;3101490480Y
IMP DU CIMETIERE;Impasse du Cimetière;CIMETIERE;;;ST-ALBAN;31467;314670000159;P31467
RUE CEZANNE;Rue Cézanne;CEZANNE;;;BLAGNAC;31069;310690000097;3100690172L
VA VA008776;Voie anomyme numéro 008776;;;;TOULOUSE;31555;31555A008776;310555
IMP DES PRADELETS;Impasse des Pradelets;PRADELETS;;;ST-ORENS-DE-GAMEVILLE;31506;315060000161;3105061026P
RUE DE LA VIOLETTE;Rue de la Violette;VIOLETTE;;;LAUNAGUET;31282;312820000137;3102820258D
RUE EMILE DEWOITINE;Rue Émile Dewoitine;DEWOITINE;;;BALMA;31044;310440000090;3100440323J
ALL DE BORDENEUVE;Allée de Bordeneuve;BORDENEUVE;;;PIBRAC;31417;314170000037;3104170037B
IMP DES PETUNIAS;Impasse des Pétunias;PETUNIAS;;;TOULOUSE;31555;315558367957;3105556798A
RUE DES CANARIS;Rue des Canaris;CANARIS;;;TOULOUSE;31555;315551379208;3105551616T
IMP RAYMOND LOEWY;Impasse Raymond Loewy;LOEWY;;;AUCAMVILLE;31022;310220000093;3100220319A
ALL DE CAMIS SUD;Allée de Camis-Sud;SUD;;;AUSSONNE;31032;310320000018;3100320036Z
RUE DANIEL SORANO;Rue Daniel Sorano;SORANO;;;BALMA;31044;310440000263;3100440300J
IMP DE MAURESSAC;Impasse De Mauressac;MAURESSAC;;;FLOURENS;31184;311840000043;3101840201T
IMP PAUL LANGEVIN;Impasse Paul Langevin;LANGEVIN;;;CASTELGINEST;31116;311160000100;3101160793G
RUE DE BEAUSOLEIL;Rue de Beausoleil;BEAUSOLEIL;;;UNION;31561;315610000036;3105610059Z
PL SAINT AUBIN;Place Saint Aubin;AUBIN;;;TOULOUSE;31555;315558427233;3105557709R
IMP DE NOVITAL;Impasse De Novital;NOVITAL;;;SAINT-JORY;31490;314900000073;3104900231V
RUE DU DOCTEUR PAUL PUJOS;Rue du Docteur Paul Pujos;PUJOS;;;TOULOUSE;31555;315552364849;3105552716N
CHE DE LA VIOLETTE;Chemin de la Violette;VIOLETTE;;;UNION;31561;315610000292;3105610792W
RUE DE LA FERME;Rue de la Ferme;FERME;;;ST-ORENS-DE-GAMEVILLE;31506;315060000068;3105060635P
RUE DU VAR;Rue du Var;VAR;;;TOULOUSE;31555;315557097639;3105558716K
IMP DES PECHERS;Impasse Des Pêchers;PECHERS;;;BRUGUIERES;31091;310910000007;3100912751U
AV GASPARD CORIOLIS;Avenue Gaspard Coriolis;CORIOLIS;;;TOULOUSE;31555;315550000510;3105554063C
RUE DES NOUVEAUX PARADOUX;Rue des Nouveaux Paradoux;PARADOUX;;;BALMA;31044;310440000299;3100440623K
RUE LEO DELIBES;Rue Léo Delibes;DELIBES;;;CUGNAUX;31157;311570000086;3101570400B
BD DU MARECHAL JUIN;Boulevard du Maréchal Juin;JUIN;;;TOULOUSE;31555;315554380818;3105555654G
RUE JEAN CALAS;Rue Jean Calas;CALAS;;;TOULOUSE;31555;315551305608;3105554528H
CHE DU CARRELOT;Chemin du Carrelot;CARRELOT;;;TOULOUSE;31555;315551459215;3105551716B
IMP ADOLPHE COLL;Impasse Adolphe Coll;COLL;;;TOURNEFEUILLE;31557;315570000154;3105570525Y
RUE BOUCHER DE PERTHES;Rue Boucher de Perthes;PERTHES;;;VILLENEUVE-TOLOSANE;31588;315880000135;3105880123B
RUE DE LA TRAMONTANE;Rue de la Tramontane;TRAMONTANE;;;UNION;31561;315610000280;3105610768V
RUE DE LA GRECE;Rue de la Grèce;GRECE;;;TOULOUSE;31555;315553324811;3105554008T
PL LOUIS MEROC;Place Louis Meroc;MEROC;;;TOULOUSE;31555;315558380353;3105555390V
RUE DES GALAPAGOS;Rue des Galapagos;GALAPAGOS;;;ST-ORENS-DE-GAMEVILLE;31506;315060000077;3105060669B
IMP FRANCOIS TRUFFAUT;Impasse François Truffaut;TRUFFAUT;;;LAUNAGUET;31282;312820000113;3102820134U
CHE DU BRODEUR;Chemin du Brodeur;BRODEUR;;;PIBRAC;31417;314170000043;3104170042G
RUE DES MIMOSAS;Rue des Mimosas;MIMOSAS;;;PIBRAC;31417;314170000123;3104170275K
RUE DES PRIMEVERES;Rue des Primevères;PRIMEVERES;;;TOULOUSE;31555;315555602430;3105557132N
RUE ADOLPHE COLL;Rue Adolphe Coll;COLL;;;TOULOUSE;31555;315551856016;3105550048N
RUE DU PEYRESOURDE;Rue du Peyresourde;PEYRESOURDE;;;TOURNEFEUILLE;31557;315570000357;3105572992E
