libelle;libelle_complet;commune;code_insee;sti;rivoli;
RTE DE CASTRES;Route de Castres;DREMIL-LAFAGE;31163;311630000082;3101630053Y;
IMP DES FOUGERES;Impasse Des Fougères;BRUGUIERES;31091;310910000004;3100910262N;
IMP DES MYOSOTIS;Impasse des Myosotis;TOURNEFEUILLE;31557;315570000312;3105572747N;
RUE DES CHARDONNERETS;Rue des Chardonnerets;PIBRAC;31417;314170000055;3104170055W;
RUE PIERRE ROGOS;Rue Pierre Rogos;CASTELGINEST;31116;311160000164;3101160836D;
RUE ANDRE BAUGE;Rue André Bauge;TOULOUSE;31555;315550636832;3105550290B;
AV DU FAUR DE PIBRAC;Avenue du Faur de Pibrac;PIBRAC;31417;314170000140;3104170088G;
RUE WATTEAU;Rue Watteau;ST-JEAN;31488;314880000060;3104880760D;
CHE TEYNIER;Chemin Teynier;TOULOUSE;31555;315556828837;3105558448U;
IMP DU PIC VERT;Impasse du Pic-Vert;UNION;31561;315610000216;3105610617F;
RUE DE LA REPUBLIQUE;Rue de la République;MONDONVILLE;31351;313510000069;3103510036M;
CHE DE BAROUNA;Chemin de Barouna;AUSSONNE;31032;310320000008;3100320020G;
IMP MARCEL PAGNOL;Impasse Marcel Pagnol;FONBEAUZARD;31186;311860000042;3101860078A;
RUE VICTOR HUGO;Rue Victor Hugo;BRUGUIERES;31091;310910000114;3100910247X;
IMP DU PONT;Impasse du Pont;LAUNAGUET;31282;312820000093;3102820220M;
RUE DES USINES;Rue des Usines;FENOUILLET;31182;311820000109;3101820440L;
RUE ADONIS;Rue Adonis;TOULOUSE;31555;315550038422;3105550056X;
RUE DES HIRONDELLES;Rue des Hirondelles;AUSSONNE;31032;310320000054;3100320179E;
VA VA000043;Voie Anonyme Numéro 000043;BLAGNAC;31069;31069A000043;;
VA VA000021;Voie Anonyme Numéro 000021;LESPINASSE;31293;31293A000021;;
RUE DU LAMPY;Rue Du Lampy;MONTRABE;31389;313890000050;3103890215S;
IMP DE LA SARRIETTE;Impasse de la Sarriette;TOURNEFEUILLE;31557;315570000414;3105573310A;
CHE DE LA PALANQUE;Chemin de la Palanque;UNION;31561;315610000195;310561;
PL COMMERCIALE DE JOLIMONT;Place Commerciale de Jolimont;TOULOUSE;31555;315551897611;3105552244A;
BD DES COURTIES;Boulevard des Courties;TOULOUSE;31555;315558445944;3105552363E;
RUE SEVESO;Rue Sévéso;FENOUILLET;31182;311820000101;3101820408B;
BD EUGENE MONTEL;Boulevard Eugène Montel;TOURNEFEUILLE;31557;315570000305;3105571650W;
RUE VICTOR CAPOUL;Rue Victor Capoul;TOULOUSE;31555;315551424027;3105558824C;
RUE DE LA TANNERIE;Rue de la Tannerie;TOULOUSE;31555;315556774438;3105558388D;
IMP DU PRE FLEURI;Impasse du Pré Fleuri;SEILH;31541;315410000032;3105410107N;
PL PIERRE MENDES FRANCE;Place Pierre Mendes France;TOULOUSE;31555;315558382618;3105555874W;
CLOS ANTOINE LAVOISIER;Clos Antoine Lavoisier;TOURNEFEUILLE;31557;315570000255;3105570670F;
RUE DAUBENTON;Rue Daubenton;TOULOUSE;31555;315552160006;3105552512S;
CHE DU REBEILLOU;Chemin du Rebeillou;QUINT;31445;314450000098;3104450360F;
